book_order,book,chapter,verse,reference,syriac
1,Genesis,4,7,Genesis 4:7,הלא אם תוטיב עובדך ישתבק לך ואם לא תוטיב עובדך ליום דינא חטאך נטיר דיעתיד לאתפרעא מנך אם לא תתוב ואם תתוב ישתבק לך:
1,Genesis,4,8,Genesis 4:8,ואמר קין להבל אחוהי והוה במהויהון בחקלא וקם קין על הבל אחוהי וקטלה:
1,Genesis,4,9,Genesis 4:9,ואמר יי לקין אן הבל אחוך ואמר לא ידענא הנטר אחי אנא:
1,Genesis,4,10,Genesis 4:10,ואמר מה עבדתא קל דם זרעין דעתידין למפק מן אחוך קבלין קדמי מן ארעא:
1,Genesis,4,11,Genesis 4:11,וכען ליט את מן ארעא דפתחת ית פומה וקבילת ית דמה דאחוך מן ידך:
1,Genesis,4,12,Genesis 4:12,ארי תפלח בארעא לא תוסיף למתן חילה לך מטלטל וגלי תהא בארעא:
1,Genesis,4,13,Genesis 4:13,ואמר קין קדם יי סגי חובי מלמשבק:
1,Genesis,4,14,Genesis 4:14,הא תריכתא יתי יומא דין מעל אפי ארעא ומן קדמך לית אפשר לאטמרא ואהי מטלטל וגלי בארעא ויהי כל דישכחנני יקטלינני:
1,Genesis,4,15,Genesis 4:15,ואמר לה יי בכן כל קטיל קין לשבעא דרין יתפרע מנה ושוי יי לקין אתא בדיל דלא למקטל יתה כל דישכחנה:
1,Genesis,4,16,Genesis 4:16,ונפק קין מן קדם יי ויתיב בארעא גלי ומטלטל דהוה עבידא עלוהי מלקדמין דגינתא דעדן:
1,Genesis,4,17,Genesis 4:17,וידע קין ית אתתה ועדיאת וילידת ית חנוך והוה בני קרתא וקרא שמא דקרתא כשום ברה חנוך:
1,Genesis,4,18,Genesis 4:18,ואתיליד לחנוך ית עירד ועירד אוליד ית מחויאל ומחייאל אוליד ית מתושאל ומתושאל אוליד ית למך:
1,Genesis,4,19,Genesis 4:19,ונסיב לה למך תרתין נשין שום חדא עדה ושום תניתא צלה:
1,Genesis,4,20,Genesis 4:20,וילידת עדה ית יבל הוא הוה רבהון דיתבי משכנין ומרי בעיר:
1,Genesis,4,21,Genesis 4:21,ושום אחוהי יובל הוא הוה רבהון דכל דמנגן על פום נבלא ידעי זמר כנורא ואבובא:
1,Genesis,4,22,Genesis 4:22,וצלה אף היא ילידת ית תובל קין רבהון דכל דידעי עיבידת נחשא ופרזלא ואחתה דתובל קין נעמה:
1,Genesis,4,23,Genesis 4:23,ואמר למך לנשוהי עדה וצלה שמען קלי נשי למך אציתא לממרי לא גברא קטלית דבדילה אנא סביל חובין ואף לא עולימא חבלית דבדילה ישתיצי זרעי:
1,Genesis,4,24,Genesis 4:24,ארי שבעא דרין איתלאו לקין הלא ללמך ברה שבעין ושבעא:
